78,78,36,0.43,5.2,12.1,0.6,2.3,0.85,5.1,6,5.1,0.8,4.3,7.8,2.2,0.1,2.3,2.8,16.1,35,43,22.1,0.178
80,47,28.9,0.42,4.2,10.1,1.1,2.7,0.7,1.2,1.7,2.4,0.4,2,4.5,0.8,0.2,1.8,2.9,10.8,39,41,12.4,0.059
57,55,35.4,0.46,6.1,13.4,1,2.6,0.84,3.5,4.2,4.4,1,3.4,4,1.2,0.2,2,2.4,16.8,23,34,18,0.114
63,22,22.1,0.5,3.8,7.6,0,0,0.72,1.3,1.8,5,2.3,2.7,0.4,0.3,1.2,0.7,3,9,24,39,17.1,0.118
78,25,23.5,0.42,2.4,5.8,0.1,0.4,0.65,1.5,2.4,3.7,0.9,2.8,3.8,1.6,0.1,1.8,2.3,6.4,21,57,13.1,0.064
80,80,34.6,0.43,7.3,17.1,0.7,2.6,0.87,4.9,5.6,4.4,0.9,3.5,2.4,1,0.9,2.9,1.5,20.3,19,61,15.8,0.04
81,77,31.4,0.5,4.1,8.2,0,0.1,0.73,1.9,2.6,9.7,3.1,6.6,1.5,0.7,0.9,1.7,3.3,10.1,37,44,14.7,0.103
81,80,37,0.48,7.1,14.9,0.2,0.9,0.79,2.4,3.1,3.9,1.2,2.7,6.3,0.8,0.2,2.5,1.5,16.8,40,41,16,0.078
82,65,32.5,0.4,5.3,13.4,0.4,1.6,0.82,4.3,5.2,4.9,2.2,2.7,5.3,1.3,0.2,3.3,2.3,15.3,23,59,15.2,0.035
82,75,30.5,0.53,5.5,10.3,0,0,0.79,2.1,2.6,8.1,2.7,5.4,1,0.5,1.8,1.8,3.1,13,34,48,17.9,0.112
80,77,36.2,0.46,6.6,14.3,2.1,4.8,0.89,2.2,2.5,4.5,0.6,3.9,5.9,1.9,0.2,3.1,3.2,17.5,25,55,16.3,0.077
82,82,38,0.51,8.5,16.8,0.1,0.3,0.64,5.4,8.5,12.4,3.3,8.8,3.8,0.8,0.5,2.7,3.1,22.5,32,50,21.9,0.152
69,64,37.8,0.41,5.8,14.1,0.5,1.7,0.77,4.4,5.7,4.6,0.5,4.1,8.3,1.8,0.5,3.8,2.5,16.4,19,50,15.8,0.041
81,62,28.5,0.43,5.3,12.4,0,0.2,0.69,3.4,5,8.6,2.7,6,2.5,1,0.8,3.3,4.1,14.1,23,58,14.6,0.022
61,19,20.7,0.45,2.9,6.5,0.7,2.3,0.76,1.3,1.7,3.7,0.6,3.1,1.1,1,0.4,1.1,2.1,7.8,29,32,13,0.091
51,51,30.5,0.47,6.9,14.6,1.4,3.6,0.87,3.4,3.8,3.7,0.9,2.9,5.4,1.1,0.4,3.1,2.2,18.5,17,34,21.4,0.125
66,29,24.4,0.44,4.8,10.9,1.7,4.1,0.87,1.2,1.4,2.4,0.4,2.1,2,0.7,0.3,1.6,2.3,12.5,23,43,14.9,0.05
64,39,24,0.49,3.1,6.3,0.6,1.7,0.77,1.1,1.4,5.1,1.6,3.5,1.1,1.3,0.4,0.7,1.4,7.9,49,15,16.6,0.171
81,36,29.1,0.46,5.4,11.6,0.9,2.6,0.71,1.4,2,6.4,2.2,4.2,1.1,0.7,0.8,1.2,3,13,26,55,16.4,0.079
65,14,24.2,0.48,4.7,9.8,0,0.1,0.83,2.9,3.5,5.8,2.1,3.6,0.8,0.5,0.7,1.5,3.1,12.3,19,46,18.1,0.108
82,77,28.6,0.53,3.9,7.4,0,0,0.63,1.5,2.4,7,2.3,4.7,2.3,0.6,0.8,1.5,3.2,9.4,40,42,15.2,0.113
65,2,25.1,0.43,4.1,9.6,1.5,4.1,0.82,1.8,2.2,3.9,0.8,3.1,0.8,0.5,0.8,1.6,2.8,11.6,35,30,12.8,0.057
78,43,27,0.42,4.1,9.7,0.7,1.8,0.73,1.9,2.7,4.5,1.2,3.3,1.3,0.9,0.9,1.8,2.5,10.8,20,58,12.4,0.011
82,12,22.9,0.43,3.7,8.4,0.8,2.3,0.85,2,2.3,2.7,0.6,2.1,2.8,0.6,0.3,1.9,2.2,10.1,32,50,14,0.058
79,31,27.3,0.43,4.7,11,0.5,1.6,0.74,2.7,3.6,4.5,1.2,3.3,1.2,0.6,0.5,1.6,2.5,12.7,23,56,12.7,0.025
80,52,28.2,0.43,4,9.4,0.3,1,0.74,2.2,3,4.7,1.3,3.5,1.5,0.6,0.6,2,2.5,10.5,19,61,9.8,0.003
74,22,21,0.54,3.6,6.6,0.1,0.3,0.74,1,1.4,4.2,1.6,2.6,0.8,1,0.1,0.9,1.7,8.2,38,36,16.5,0.14
82,82,38,0.44,6.9,15.6,1.8,4.6,0.88,3,3.4,3.8,0.7,3.1,3.2,1.1,0.2,2.8,2.5,18.5,24,58,14.2,0.052
81,19,24.8,0.47,5.6,11.8,0.4,1,0.77,2.3,3,5.4,1.4,4.1,1,0.5,0.5,1.5,2.3,13.9,43,38,17.2,0.081
72,72,37.2,0.46,7.4,16.2,0.5,2,0.75,4.8,6.5,5.3,0.9,4.4,5.8,1.5,0.4,3,2.8,20.1,23,49,18.2,0.097
82,82,32.6,0.37,5.5,14.8,1.8,4.7,0.82,2.7,3.3,3.4,0.6,2.8,5.7,1.3,0.2,2.4,2.3,15.5,46,36,14.5,0.075
76,37,27.8,0.48,4.9,10.4,0.6,1.5,0.85,1.9,2.3,2.5,0.5,2,5.7,1,0.1,2.7,1.2,12.4,34,42,16.5,0.067
82,70,26.9,0.49,3.8,7.7,0,0,0.65,1.4,2.1,7.5,2.8,4.7,0.9,0.6,1.3,1.4,3.4,9,41,41,13.8,0.103
82,81,31,0.5,3.6,7.3,1,2.7,0.77,1.4,1.8,6.4,1.3,5.1,1.9,1,0.2,1.3,1.4,9.7,42,40,13.5,0.1
66,60,32.2,0.42,4.8,11.7,1.6,4.2,0.76,1.6,2.1,3.2,0.5,2.7,3.8,0.7,0.2,2.6,2.3,12.8,25,41,11.7,0.029
56,47,29.4,0.43,4.9,11.4,0.8,2.7,0.76,2,2.6,3.6,1.3,2.3,2.3,0.9,0.3,2.1,2.1,12.6,18,38,12.9,0.022
46,39,22.5,0.59,3.9,6.7,0,0,0.67,2.4,3.6,7.7,3.1,4.6,0.8,0.7,1,1.2,2.5,10.2,27,19,21.9,0.212
59,35,28.9,0.4,3.6,9.1,0.8,2.7,0.8,1.5,1.8,3.2,0.7,2.4,2.8,1.7,0.1,1.9,2.9,9.5,34,25,10.8,0.068
82,82,32,0.54,7.6,14.1,0.4,1.1,0.81,2.7,3.4,10.5,2.8,7.7,2,0.7,1.7,2.2,3,18.3,29,53,22.5,0.151
53,48,30.1,0.51,7.5,14.7,0,0.1,0.69,2.5,3.7,7,2.3,4.7,1.2,0.4,1.2,2.3,2.6,17.5,6,47,17.1,0.037
72,72,28.5,0.42,5.2,12.3,1.1,3.4,0.84,2.8,3.3,7.3,1.8,5.5,1.3,0.7,1.9,1.7,2.8,14.3,28,44,17.7,0.102
76,51,27.8,0.42,4.8,11.4,1.3,3.8,0.84,2.8,3.4,2.5,0.4,2.1,2.6,0.6,0.3,2.1,3,13.8,20,56,11.9,0.043
60,30,22.8,0.5,4.4,8.8,0.1,0.2,0.73,1.5,2,5.5,1.1,4.4,0.7,0.4,1.4,1.1,2.6,10.3,32,28,15.4,0.109
82,55,23,0.43,4,9.4,1.8,4.6,0.84,0.8,0.9,3.3,0.4,2.9,1.5,0.5,0.1,1.2,1.4,10.6,31,51,11.8,0.032
75,28,26.4,0.46,3.9,8.5,1,2.6,0.87,1.5,1.7,2.8,0.6,2.2,4.2,1.1,0.2,1.5,1.9,10.2,38,37,14.9,0.1
78,20,17.2,0.46,2.5,5.4,0.6,1.7,0.69,1.1,1.6,2.8,0.6,2.2,0.8,0.4,0.2,0.9,1.8,6.6,50,28,10.3,0.053
78,17,22.6,0.46,2.8,6.1,0.4,1.2,0.78,1.5,1.9,4.9,1.7,3.2,1.2,0.7,0.8,1,2.7,7.5,39,39,14.7,0.139
67,14,16.9,0.6,2,3.4,0,0,0.58,1.1,1.8,4.5,1.6,2.9,0.6,0.4,0.3,0.8,1.9,5.1,21,46,15.4,0.116
46,0,7.3,0.4,0.7,1.8,0,0,0.3,0.2,0.6,1.7,0.7,1,0.2,0.1,0.5,0.4,1.2,1.6,29,17,7.4,0.007
82,1,18,0.53,2.5,4.9,0,0,0.67,1.7,2.5,5.2,2.2,2.9,0.8,0.8,0.9,1.1,2.9,6.8,51,31,17.6,0.153
10,0,17.5,0.37,1.4,3.8,0.3,0.8,0.89,2.5,2.8,3.1,1.2,1.9,3.2,1.4,0.1,1.2,2,5.6,2,8,18.3,0.148
74,31,20.7,0.48,2.4,5,0,0,0.69,1.8,2.6,5.6,2.4,3.3,1.1,0.9,0.9,1.2,2.3,6.6,31,43,15.5,0.12
82,75,30.7,0.53,4.3,8.1,0,0,0.73,3.4,4.6,7.4,2.5,4.9,1.7,0.8,1.1,2,3.2,11.9,24,58,16.7,0.121
81,37,25.3,0.46,3.9,8.5,0,0.2,0.79,3.3,4.1,9.1,3.4,5.7,1,0.4,0.6,1.5,2.5,11.1,24,57,18.3,0.124
70,42,14.4,0.47,2.8,6,0,0,0.67,1.4,2.1,3.5,1.6,1.8,0.7,0.3,1.1,0.8,3.1,7.1,29,41,16.1,0.102
53,13,14.5,0.63,1.8,2.8,0,0,0.39,0.8,2.1,4.5,1.4,3.1,0.2,0.2,1.1,0.8,1.8,4.3,11,42,14.1,0.079
76,0,22.9,0.4,3.1,7.6,1.2,3.3,0.81,2.6,3.2,3.2,0.6,2.6,1.8,1.1,0.3,1.4,2.6,9.9,47,29,14,0.124
77,65,21.6,0.5,3.3,6.6,0.1,0.2,0.76,1.9,2.5,2.9,0.9,2,0.7,0.6,0.2,0.8,2.3,8.6,36,41,12.5,0.066
73,51,24.2,0.44,3.2,7.1,0.8,2.2,0.76,0.9,1.2,2.6,0.8,1.8,3.8,1.1,0.2,2.1,2.1,8,24,49,12.3,0.032
71,3,10.1,0.4,1.3,3.2,0.1,0.5,0.84,0.6,0.7,0.9,0.1,0.9,1.7,0.5,0.2,0.7,1.2,3.2,50,21,11,0.042
72,17,16.9,0.49,2,4.1,0.5,1,0.71,1,1.3,1.9,0.6,1.4,1.1,0.4,0.3,1,1.5,5.4,33,39,10.7,0.048
65,37,25.5,0.45,3.9,8.8,1.3,3.4,0.83,2.4,2.8,2.6,0.7,1.8,4.1,0.8,0.1,1.6,1.9,11.5,22,43,17.6,0.124
42,0,8.5,0.41,0.8,1.9,0,0.3,0.77,1,1.3,1.3,0.5,0.8,0.3,0.3,0.1,0.3,0.5,2.6,30,12,12.5,0.144
82,82,38.6,0.43,6.7,15.7,2.3,6.1,0.84,3.3,3.9,3.1,0.5,2.6,6.5,0.9,0.2,3,2.1,19,33,49,16.4,0.088
64,60,28.9,0.52,5.5,10.6,0,0.1,0.75,2.6,3.5,8.2,2.6,5.6,1,1.2,1.8,1.4,2.5,13.5,23,41,21.7,0.159
60,10,20.7,0.61,3.5,5.7,0,0,0.37,1,2.7,7.6,2.8,4.8,0.5,1,1.6,1,2.4,7.9,23,37,21.6,0.172
79,1,13.4,0.33,1.1,3.3,0.2,0.8,0.82,0.6,0.7,3.3,0.7,2.6,0.7,0.5,0.3,0.6,2,2.9,45,34,7.1,0.028
80,54,30.1,0.39,4.3,11,1.2,3.4,0.73,2,2.8,3.3,1,2.4,5.6,1.3,0.1,2.3,2.3,11.9,26,54,14.2,0.051
61,1,20.3,0.42,3.3,8.1,1.3,3.5,0.9,1.6,1.8,1.9,0.2,1.7,1.2,0.4,0,1.3,1.9,9.7,20,41,12.5,0.046
72,26,21.4,0.41,3.2,7.8,0.8,2,0.75,2.1,2.8,2.3,0.8,1.5,2,0.8,0,1.6,2.8,9.3,21,51,12.6,0.046
7,0,19.3,0.41,3,7.3,0.9,2.4,0.88,2,2.3,2.6,0.4,2.1,0.7,0.1,0,1.1,1.1,8.9,1,6,0.7,-0.062
80,27,28.9,0.4,3.2,7.9,1.4,3.9,0.7,1.1,1.5,3.3,0.4,2.9,2.7,1.1,0.1,1.5,2.1,8.8,32,48,11.2,0.072
79,7,24.7,0.44,3,6.7,0.2,0.7,0.75,2.4,3.2,4.8,1.5,3.3,0.8,0.6,0.3,1.1,2.9,8.5,25,54,12.2,0.069
23,1,17.3,0.41,3,7.4,0,0.2,0.77,2.1,2.8,4.7,1.8,2.9,1,0.7,0.5,1.4,2.5,8.2,7,16,15.3,0.047
79,12,17.2,0.45,3.1,6.8,0.8,2.3,0.74,1,1.3,1.8,0.4,1.4,0.8,0.6,0.3,1.1,2.2,7.9,31,48,12.6,0.058
61,33,22.6,0.49,2.8,5.8,0,0.1,0.75,1.8,2.4,4.9,1.7,3.2,1,0.6,0.1,0.9,1.4,7.6,26,35,14,0.108
69,14,14.9,0.52,2.5,4.8,0,0,0.81,2,2.4,3.3,1.4,1.9,0.4,0.2,0.4,1.1,2.4,7,26,43,15.8,0.123
49,3,18.1,0.42,2.7,6.5,0.6,1.7,0.71,0.9,1.2,2.1,0.4,1.7,1.6,0.7,0.2,1.2,1.4,6.8,16,33,11.1,0.028
3,0,13,0.7,2.3,3.3,0.7,1,1,1.3,1.3,1.3,1,0.3,1,0,0.7,1.3,2.3,6.7,1,2,20.3,0.208
80,24,19.8,0.48,2.5,5.2,0.4,1.1,0.81,1.4,1.7,3.1,0.7,2.3,0.8,0.5,0.2,1.2,2.9,6.7,26,54,10.2,0.038
79,4,20.2,0.44,2.4,5.4,0.3,1,0.8,1.6,2,2,0.2,1.8,2.8,0.5,0,1.3,1.7,6.7,20,59,12.3,0.035
61,18,17.5,0.4,2.3,5.7,1.1,3,0.86,1,1.2,2.1,0.5,1.7,0.6,0.3,0.2,0.7,1.5,6.6,11,50,11.6,0.039
67,11,19.4,0.4,1.9,4.9,0.6,2,0.77,1.2,1.5,2.8,0.6,2.2,1.4,0.6,0.7,1.1,2,5.6,36,31,10.3,0.06
32,3,11.7,0.48,2.1,4.3,0.2,0.6,0.78,0.9,1.2,1.3,0.3,1,0.6,0.4,0.1,0.7,1.3,5.2,13,19,13.1,0.064
68,41,18.9,0.51,2.3,4.4,0,0,0.63,0.7,1.1,4.4,1.6,2.8,0.2,0.4,0.8,0.9,3.1,5.2,26,42,10.4,0.037
68,2,10.6,0.44,1.5,3.4,0,0,0.66,1.1,1.7,2.1,0.6,1.5,0.4,0.2,0.3,0.8,1.7,4.1,42,26,11,0.053
23,0,10.7,0.42,1.3,3,1.1,2.5,0.83,0.2,0.3,0.9,0.2,0.7,0.7,0.3,0,0.4,1,3.8,9,14,12.6,0.115
66,5,14.7,0.38,1.5,3.9,0.3,1.2,0.78,0.5,0.7,1.3,0.3,0.9,1.3,0.6,0.1,0.9,1.3,3.8,39,27,7.6,0.017
61,2,8.5,0.45,1.3,2.8,0,0.2,0.7,0.9,1.3,1.9,0.6,1.3,0.2,0.2,0.2,0.3,1.4,3.5,33,28,13.2,0.111
23,0,8.8,0.37,1.2,3.3,0.2,0.9,0.75,0.8,1,1.7,0.8,0.9,0.7,0.3,0.1,0.4,0.9,3.4,7,16,13.8,0.076
43,2,9.6,0.48,1.3,2.8,0,0,0.88,0.7,0.8,2,0.9,1.2,0.2,0.3,0,0.6,1.6,3.4,26,17,11.5,0.096
80,5,15.4,0.4,1.3,3.2,0.1,0.5,0.66,0.6,0.9,1.8,0.5,1.4,1.6,1,0.1,1.4,2.3,3.2,31,49,6.4,-0.013
10,0,4.3,0.44,1.1,2.5,0.4,1.1,1,0.2,0.2,1.1,0.4,0.7,0.1,0.3,0.1,0.2,0.6,2.8,8,2,22,0.146
17,0,8.5,0.61,1.4,2.2,0,0,0.17,0.1,0.4,2.1,1.1,1,0.1,0.1,0.4,0.1,1.5,2.8,9,8,15.6,0.155
29,1,9.2,0.4,1,2.4,0,0,0.63,0.4,0.7,2.3,0.6,1.7,0.1,0.1,0.2,0.4,0.6,2.3,14,15,9.1,0.013
26,0,6.1,0.43,0.9,2.1,0,0,0.33,0.5,1.6,1.1,0.5,0.6,0.1,0.2,0.2,0.4,0.5,2.3,20,6,8,-0.054
29,0,6,0.39,0.9,2.3,0.1,0.4,0.83,0.3,0.4,1.3,0.4,0.9,0.3,0.2,0.2,0.4,1.2,2.2,16,13,10.1,0.026
23,0,9.2,0.4,1,2.5,0,0,0.5,0.1,0.3,1.9,0.7,1.2,0.7,0.3,0.3,0.6,1.8,2.1,10,13,7.6,0.004
23,1,7,0.5,0.7,1.3,0,0,0.56,0.7,1.2,1.6,0.5,1.1,0.3,0.1,0.4,0.3,1.3,2,14,9,12.2,0.115
30,0,4.8,0.44,0.8,1.7,0.1,0.3,0.62,0.3,0.4,0.6,0.1,0.5,0.3,0.2,0,0.4,0.4,1.9,14,16,9,-0.036
5,0,7,0.25,0.8,3.2,0.2,1,0,0,0,1,0.2,0.8,0.8,0.2,0,0.8,0.8,1.8,3,2,-2.4,-0.23
39,0,9.5,0.36,0.7,2.1,0,0.4,0.5,0.3,0.6,0.8,0.2,0.6,0.3,0.1,0.1,0.5,1.1,1.8,24,15,0.7,-0.062
33,0,5.5,0.46,0.6,1.3,0,0.1,0.48,0.3,0.7,1.5,0.8,0.7,0.2,0.2,0.1,0.2,0.9,1.5,23,10,13.8,0.144
16,0,4.6,0.16,0.4,2.4,0.1,1.1,0.75,0.4,0.5,0.5,0.3,0.2,0.3,0.2,0,0.1,0.8,1.3,6,10,-1.6,-0.174
24,0,5.3,0.3,0.4,1.3,0.1,0.3,0.7,0.3,0.4,0.5,0.2,0.3,0.4,0.1,0,0.3,0.5,1.1,12,12,4.8,-0.013
14,0,2.4,0.39,0.4,0.9,0,0,0.38,0.2,0.6,0.5,0.4,0.1,0.4,0.1,0,0.6,0.5,0.9,7,7,4.2,-0.219
6,0,1.5,0,0,0.2,0,0,0,0,0,0.7,0.2,0.5,0,0.3,0,0,0.2,0,1,5,15.5,0.155
78,23,29.8,0.38,4.6,12.1,1.1,3.3,0.71,1.5,2.2,2.9,0.7,2.3,2.1,0.4,0.1,1.7,2.3,11.8,30,48,7.9,-0.03
6,2,22.8,0.44,3,6.8,0.3,1.2,0.8,2,2.5,3.3,0.5,2.8,0.8,0.5,0.2,0.8,1.2,8.3,4,2,12.1,0.108
82,5,18.7,0.53,3,5.6,0,0.1,0.62,1.4,2.3,5.1,1.8,3.3,0.6,0.6,0.2,0.9,2.7,7.4,32,50,15.7,0.121
79,2,16.6,0.4,2.6,6.7,0.6,2.1,0.85,0.9,1.1,2.1,0.4,1.7,3.3,0.4,0,1.8,1.2,6.8,39,38,11.5,-0.004
67,35,17.4,0.46,2.7,5.9,0.4,1.1,0.61,0.8,1.3,1.9,0.6,1.3,0.4,0.6,0.3,0.6,1.8,6.6,24,43,11.4,0.055
42,0,14.8,0.41,1.9,4.6,0.9,2.3,0.9,1.3,1.4,1.2,0.2,1,0.9,0.3,0,0.5,1.2,6,19,23,13,0.134
81,31,18.7,0.46,2,4.5,0,0,0.76,1.4,1.8,5.4,1.6,3.8,0.5,0.6,0.5,1.2,2.5,5.5,30,51,12.3,0.07
72,4,13.4,0.48,1.9,3.9,0,0,0.61,1.5,2.4,3.7,1.2,2.5,0.6,0.6,1.1,1.3,2.3,5.2,44,28,14.8,0.11
68,1,15.6,0.51,2,4,0.1,0.4,0.57,0.8,1.3,4.3,1.4,2.9,0.6,0.8,0.6,0.7,2.1,4.9,28,40,16.1,0.125
56,14,12.1,0.53,1.8,3.4,0,0.2,0.68,1,1.5,1.3,0.7,0.7,0.4,0.7,0.1,0.4,0.8,4.6,36,20,15.2,0.124
60,16,16.5,0.42,1.6,3.9,0.9,2.1,0.72,0.5,0.7,1.5,0.5,1.1,1.2,0.4,0.1,0.7,1.6,4.6,33,27,9.4,0.098
52,9,14.9,0.38,1.7,4.4,0.3,0.9,0.59,0.9,1.6,2,0.5,1.5,1.6,0.6,0.1,1.1,1.4,4.5,19,33,9.2,0.002
72,2,15.1,0.42,1.7,4.1,0.6,1.9,0.71,0.4,0.5,1.7,0.3,1.3,1.9,0.6,0.1,1,1.1,4.4,37,35,10.8,0.038
59,19,12.8,0.54,1.5,2.9,0,0,0.66,1.3,2,3.1,0.8,2.2,0.3,0.4,0.6,0.8,2.3,4.4,15,44,13.2,0.083
63,2,11.4,0.45,1.3,2.8,0,0,0.74,1.7,2.3,3.4,1.5,1.9,0.2,0.2,0.3,0.7,1.7,4.2,19,44,14.6,0.116
61,0,11,0.58,1.6,2.8,0,0,0.54,0.9,1.7,2.9,1,1.8,0.2,0.2,0.3,0.5,1.5,4.2,33,28,14.6,0.122
46,3,12.1,0.47,1.6,3.5,0.4,1.1,0.55,0.2,0.4,1.8,0.7,1.1,0.5,0.1,0.2,0.5,1.5,3.9,19,27,9.7,0.063
67,1,12.9,0.42,1.5,3.6,0.4,1.3,0.81,0.3,0.4,1.4,0.3,1.1,3.3,0.5,0,1.1,1.1,3.7,24,43,14.1,0.05
71,4,12.2,0.43,1.5,3.6,0.2,0.6,0.51,0.3,0.6,2.2,0.5,1.7,0.8,0.5,0.2,0.8,1.4,3.6,42,29,8.5,0.047
58,8,11.5,0.51,1.1,2.2,0,0,0.79,1,1.3,2.3,0.8,1.5,0.2,0.2,0.7,0.4,2.1,3.3,20,38,12.3,0.117
23,5,8.8,0.38,1.2,3.2,0.3,1.1,0.71,0.4,0.6,0.9,0.3,0.7,0.4,0.3,0.1,0.6,1,3.2,16,7,7.5,0.015
56,5,11.3,0.54,1.2,2.2,0,0,0.6,0.7,1.2,2.7,1,1.6,0.2,0.2,0.5,0.6,1.4,3.1,28,28,12.2,0.091
43,4,12.4,0.42,1.3,3.1,0,0,0.49,0.4,0.8,2.5,1,1.5,0.3,0.2,0.5,0.5,1.7,2.9,19,24,8,0.025
61,8,8.1,0.56,1.2,2.2,0,0,0.67,0.4,0.6,1.3,0.6,0.7,0.2,0.3,0.1,0.4,0.8,2.9,31,30,13,0.095
42,0,8.5,0.38,1.1,3,0.3,1.2,0.73,0.3,0.4,0.9,0.3,0.6,0.4,0.4,0.1,0.4,0.5,2.8,16,26,9,-0.006
68,0,11.6,0.37,1,2.6,0.3,0.8,0.86,0.5,0.6,1.8,0.6,1.2,1,0.4,0.1,0.6,1.1,2.7,22,46,9,0.024
44,5,7.6,0.46,1,2.1,0,0.2,0.56,0.5,0.9,1.3,0.5,0.8,0.4,0.3,0,0.4,1.3,2.5,15,29,9.4,0.045
27,0,6.9,0.56,0.7,1.3,0,0,0.6,0.9,1.5,1.1,0.4,0.7,0,0.1,0.3,0.6,1.5,2.4,8,19,8.5,0.04
32,1,6.7,0.31,0.7,2.2,0.2,0.5,0.61,0.6,1,0.7,0,0.6,0.2,0.1,0.1,0.5,0.8,2.2,26,6,2.9,-0.06
16,0,7.4,0.31,0.6,2,0,0,0.65,0.7,1.1,1.3,0.4,0.9,0.6,0.4,0.5,0.5,1.6,1.9,4,12,7.3,-0.003
49,0,9.2,0.33,0.7,2,0.1,0.6,0.65,0.5,0.8,0.8,0.2,0.7,1.7,0.4,0.1,0.6,1,1.9,29,20,8.6,0.024
28,3,6,0.37,0.6,1.8,0,0,0.59,0.6,1,1.6,0.6,1,0,0.1,0.4,0.4,1.2,1.9,5,23,8.5,-0.011
14,0,11.9,0.3,0.6,2.1,0.1,0.4,1,0.4,0.4,1.1,0.4,0.6,1.2,0.4,0,0.9,0.6,1.8,8,6,4.5,-0.032
17,0,4.9,0.5,0.6,1.3,0,0,0.57,0.5,0.8,1.4,0.6,0.7,0.2,0.1,0,0.4,0.7,1.8,5,12,12.8,0.085
30,0,5.7,0.37,0.6,1.7,0.2,0.5,0.64,0.2,0.4,1,0.4,0.7,0.2,0.1,0,0.5,0.7,1.7,7,23,5,-0.07
13,0,7.9,0.47,0.5,1.2,0.2,0.5,0.71,0.4,0.5,0.8,0.2,0.7,0.4,0.2,0.1,0.5,0.8,1.7,4,9,6.9,0.045
31,0,5.8,0.42,0.7,1.7,0,0,0.7,0.2,0.3,1.4,0.7,0.7,0.2,0.2,0.2,0.3,0.9,1.6,14,17,11.2,0.066
35,1,5.5,0.36,0.5,1.4,0.4,1.1,1,0.1,0.1,0.7,0.1,0.6,0.2,0.1,0,0.1,0.6,1.5,20,15,7.7,0.091
2,0,3.5,0.33,0.5,1.5,0,0,0,0,0,1.5,0.5,1,1,0,0,0,1,1,2,0,16.6,0.168
53,46,26.1,0.43,3.6,8.3,0.6,1.7,0.73,1.7,2.3,2.6,0.4,2.2,4.2,0.8,0,1.7,1.6,9.4,14,39,12.6,0.038
